round,global_accuracy,global_precision,global_recall,global_f1,global_auc,global_specificity,global_sensitivity,global_balanced_accuracy,global_tn,global_fp,global_fn,global_tp,mean_client_accuracy,std_client_accuracy,global_weight_drift_l2
1,0.8109888821914139,0.0853891514209979,0.21495541145544786,0.09274869030388104,0.6250537147100763,,0.21495541145544786,,-1,-1,-1,-1,0.8589225716071707,0.006142761244088518,0.031152041618628765
2,0.8187440001785994,0.09369492306644976,0.21180529180643862,0.09507408002523556,0.6371686329404506,,0.21180529180643862,,-1,-1,-1,-1,0.8523974170071216,0.014143000076092458,0.011984334703930193
3,0.8397405844663228,0.09572867426090896,0.18335460845712245,0.08946802842311981,0.6443717519678867,,0.18335460845712245,,-1,-1,-1,-1,0.8620731754961714,0.012698421139277037,0.008697955733240644
4,0.8357779117272788,0.09181251398096356,0.20080786636636203,0.09825912163934958,0.654562938551672,,0.20080786636636203,,-1,-1,-1,-1,0.8597416169937268,0.009055061155615517,0.006984100462589858
5,0.79674279463309,0.0931693769744681,0.2588976305091842,0.10377889820394899,0.6573295990471965,,0.2588976305091842,,-1,-1,-1,-1,0.8300829649722055,0.008092710754355878,0.005741174089179004
6,0.8162436094925546,0.1665240844401252,0.23148455859072062,0.10300972918599835,0.6607389780556308,,0.23148455859072062,,-1,-1,-1,-1,0.8430188589735003,0.008778323120067669,0.004443792055399503
7,0.8213532248342374,0.11237178875896345,0.2365999665111331,0.10651390414374097,0.6696074871664646,,0.2365999665111331,,-1,-1,-1,-1,0.850771883999732,0.01692384752441394,0.004038945227512271
8,0.8235940883620209,0.13294795609506,0.23843313871656754,0.1148523031046668,0.6700694694961035,,0.23843313871656754,,-1,-1,-1,-1,0.8523150938762752,0.01606141732937616,0.0032852445669771476
9,0.8062699528944255,0.11654158888667203,0.2623797591538834,0.11965357635278666,0.6720226783925403,,0.2623797591538834,,-1,-1,-1,-1,0.8365020762172661,0.007484401707705409,0.0031620400751121874
10,0.8468901390842319,0.14787717640803985,0.20033220185689757,0.10792126299001652,0.6753242395819126,,0.20033220185689757,,-1,-1,-1,-1,0.8610462293215458,0.02859874833596913,0.0026096268600831014
11,0.8191039894626393,0.12486734684990779,0.24505541293840163,0.11753627419811055,0.6759365798214407,,0.24505541293840163,,-1,-1,-1,-1,0.8435972138503784,0.017296283688467994,0.002615084015883364
12,0.7962795526086666,0.0949039367119922,0.2853080360811377,0.1223557696356437,0.6776996622072703,,0.2853080360811377,,-1,-1,-1,-1,0.829831809657759,0.024460562671441498,0.002437151162598419
13,0.8084410510570849,0.13802134224113963,0.2687868204922619,0.11763511814008519,0.6783734407885449,,0.2687868204922619,,-1,-1,-1,-1,0.835798841336816,0.02769426408658064,0.0023543244663388027
14,0.8351472328265577,0.13109030410828357,0.2345306123721029,0.11820369150035051,0.6769389046234486,,0.2345306123721029,,-1,-1,-1,-1,0.8594702297233943,0.006972456836318227,0.0020858084427853077
15,0.8439906905096779,0.15435740861537064,0.22248130938653057,0.1274496096651589,0.682960677499727,,0.22248130938653057,,-1,-1,-1,-1,0.8663163050030138,0.016893797860206887,0.0019940193950221154
16,0.8141562297680441,0.14785096463710143,0.2728518347076157,0.13145647744126873,0.6823090549160344,,0.2728518347076157,,-1,-1,-1,-1,0.8393331547339986,0.018451246534762183,0.0018257041001870232
17,0.8347677092402831,0.1440127013977273,0.2535998877286428,0.1415690720524381,0.6874701080818103,,0.2535998877286428,,-1,-1,-1,-1,0.8546361875739513,0.017329457897386196,0.0017740327158332272
18,0.800284084566785,0.12075895023743845,0.2903948701704842,0.1232054609368235,0.6899619418871296,,0.2903948701704842,,-1,-1,-1,-1,0.8316784988725917,0.024264796050337416,0.0016500954584488233
19,0.8406642779005649,0.1445258323559191,0.23326987237289676,0.13540918277140787,0.692267884099899,,0.23326987237289676,,-1,-1,-1,-1,0.8569489094278123,0.020781985432536513,0.0016318160041835553
20,0.8274702520483112,0.14360699733971405,0.26932427834451544,0.1444766037685414,0.6916239548107743,,0.26932427834451544,,-1,-1,-1,-1,0.8451801899850424,0.02619168324464091,0.001575658427325147
