round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_auc,local_test_specificity,local_test_sensitivity,local_test_balanced_accuracy,size_weight,performance_weight,adaptive_weight
1,0,1308,0.38029027225040807,0.5237113402061856,0.520746887966805,1.0,0.684856753069577,0.8571525862362516,0.01282051282051282,1.0,0.5064102564102564,0.25,,0.25
1,1,1308,0.35915806228067815,0.5319587628865979,0.5252100840336135,0.9960159362549801,0.687757909215956,0.81182960465829,0.03418803418803419,0.9960159362549801,0.5151019852215072,0.25,,0.25
1,2,1308,0.35325745278742254,0.5216494845360825,0.5197505197505198,0.9960159362549801,0.6830601092896175,0.8533217557121939,0.01282051282051282,0.9960159362549801,0.5044182245377464,0.25,,0.25
1,3,1308,0.3601735109236182,0.5257731958762887,0.5218295218295218,1.0,0.6857923497267759,0.881516668369258,0.017094017094017096,1.0,0.5085470085470085,0.25,,0.25
2,0,1308,0.26359609292774666,0.5443298969072164,0.532051282051282,0.9920318725099602,0.6926286509040334,0.8838151666836926,0.0641025641025641,0.9920318725099602,0.5280672183062621,0.25,,0.25
2,1,1308,0.2471477499822291,0.777319587628866,0.7284345047923323,0.9083665338645418,0.8085106382978723,0.9067150202608371,0.6367521367521367,0.9083665338645418,0.7725593353083393,0.25,,0.25
2,2,1308,0.23087760907847707,0.5278350515463918,0.5229166666666667,1.0,0.6867305061559508,0.8727653488609665,0.021367521367521368,1.0,0.5106837606837606,0.25,,0.25
2,3,1308,0.2615775495767593,0.6041237113402061,0.5678160919540229,0.9840637450199203,0.7201166180758017,0.909847788333844,0.19658119658119658,0.9840637450199203,0.5903224708005584,0.25,,0.25
3,0,1308,0.21229603479548198,0.6,0.5643340857787811,0.9960159362549801,0.7204610951008645,0.9110566281881023,0.1752136752136752,0.9960159362549801,0.5856148057343277,0.25,,0.25
3,1,1308,0.2140199024139381,0.5731958762886598,0.5486725663716814,0.9880478087649402,0.705547652916074,0.8498654952838219,0.1282051282051282,0.9880478087649402,0.5581264684850342,0.25,,0.25
3,2,1308,0.1862848125761602,0.6061855670103092,0.5688073394495413,0.9880478087649402,0.7219796215429404,0.9183777709674125,0.19658119658119658,0.9880478087649402,0.5923145026730684,0.25,,0.25
3,3,1308,0.2053747601625396,0.6206185567010309,0.5777262180974478,0.9920318725099602,0.7302052785923754,0.9272482718697858,0.2222222222222222,0.9920318725099602,0.6071270473660912,0.25,,0.25
4,0,1308,0.19060607865089324,0.5402061855670103,0.5295358649789029,1.0,0.6924137931034483,0.8985255558960739,0.04700854700854701,1.0,0.5235042735042735,0.25,,0.25
4,1,1308,0.18825696821256382,0.5835051546391753,0.5543237250554324,0.9960159362549801,0.7122507122507122,0.929189226001975,0.14102564102564102,0.9960159362549801,0.5685207886403105,0.25,,0.25
4,2,1308,0.17188915957401438,0.5257731958762887,0.5218295218295218,1.0,0.6857923497267759,0.8959035652262743,0.017094017094017096,1.0,0.5085470085470085,0.25,,0.25
4,3,1308,0.17163273217837985,0.5175257731958763,0.5175257731958763,1.0,0.6820652173913043,0.9095328089351995,0.0,1.0,0.5,0.25,,0.25
5,0,1308,0.1732139324087922,0.6474226804123712,0.5961538461538461,0.9880478087649402,0.7436281859070465,0.9215105390404196,0.28205128205128205,0.9880478087649402,0.6350495454081111,0.25,,0.25
5,1,1308,0.18236145375341903,0.7814432989690722,0.7151335311572701,0.9601593625498008,0.8197278911564626,0.9364933428678448,0.5897435897435898,0.9601593625498008,0.7749514761466954,0.25,,0.25
5,2,1308,0.14900890706879336,0.5402061855670103,0.5295358649789029,1.0,0.6924137931034483,0.9035311744475092,0.04700854700854701,1.0,0.5235042735042735,0.25,,0.25
5,3,1308,0.16176514202138273,0.5814432989690722,0.5530973451327433,0.9960159362549801,0.7112375533428165,0.9281676711955598,0.13675213675213677,0.9960159362549801,0.5663840365035584,0.25,,0.25
6,0,1308,0.1545358661653065,0.7030927835051546,0.6361323155216285,0.9960159362549801,0.7763975155279503,0.9376340790683421,0.3888888888888889,0.9960159362549801,0.6924524125719345,0.25,,0.25
6,1,1308,0.15528549953568271,0.6536082474226804,0.6004842615012107,0.9880478087649402,0.7469879518072289,0.9169816460653113,0.2948717948717949,0.9880478087649402,0.6414598018183676,0.25,,0.25
6,2,1308,0.1371208866921867,0.5793814432989691,0.5516483516483517,1.0,0.7110481586402266,0.9139595464296659,0.1282051282051282,1.0,0.5641025641025641,0.25,,0.25
6,3,1308,0.14723660884107032,0.6474226804123712,0.5961538461538461,0.9880478087649402,0.7436281859070465,0.9148363809718392,0.28205128205128205,0.9880478087649402,0.6350495454081111,0.25,,0.25
7,0,1308,0.15255319755070093,0.6,0.5640449438202247,1.0,0.7212643678160919,0.9289508632138113,0.17094017094017094,1.0,0.5854700854700855,0.25,,0.25
7,1,1308,0.15488703304492846,0.5938144329896907,0.5602678571428571,1.0,0.7181688125894135,0.917815915823884,0.1581196581196581,1.0,0.579059829059829,0.25,,0.25
7,2,1308,0.12492560162776854,0.6845360824742268,0.6231155778894473,0.9880478087649402,0.7642526964560863,0.9235877004801307,0.358974358974359,0.9880478087649402,0.6735110838696496,0.25,,0.25
7,3,1308,0.1401137158547233,0.8762886597938144,0.8398576512455516,0.9402390438247012,0.8872180451127819,0.9436442265127524,0.8076923076923077,0.9402390438247012,0.8739656757585045,0.25,,0.25
