round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_auc,local_test_specificity,local_test_sensitivity,local_test_balanced_accuracy,size_weight,performance_weight,adaptive_weight
1,0,1308,0.3803333605208048,0.5216494845360825,0.5197505197505198,0.9960159362549801,0.6830601092896175,0.8564204719583207,0.01282051282051282,0.9960159362549801,0.5044182245377464,0.25,0.11191451181332807,0.18371896567039747
1,1,1308,0.35927517123338654,0.5319587628865979,0.5252100840336135,0.9960159362549801,0.687757909215956,0.8167841454694045,0.03418803418803419,0.9960159362549801,0.5151019852215072,0.25,0.4474037259210072,0.3447537884420835
1,2,1308,0.35331583546429146,0.5237113402061856,0.520746887966805,1.0,0.684856753069577,0.8519767085504137,0.01282051282051282,1.0,0.5064102564102564,0.25,0.19012798349170074,0.22126143207601637
1,3,1308,0.3601888031494327,0.5257731958762887,0.5218295218295218,1.0,0.6857923497267759,0.8808015800047672,0.017094017094017096,1.0,0.5085470085470085,0.25,0.250553778773964,0.2502658138115027
2,0,1308,0.2638070514289344,0.534020618556701,0.5263157894736842,0.9960159362549801,0.6887052341597796,0.881261279667654,0.038461538461538464,0.9960159362549801,0.5172387373582593,0.25,0.1483010151388952,0.2011844872666697
2,1,1308,0.24708838411947576,0.777319587628866,0.7241379310344828,0.9203187250996016,0.8105263157894737,0.9072428235774849,0.6239316239316239,0.9203187250996016,0.7721251745156128,0.25,0.49692190458204094,0.36852251419937965
2,2,1308,0.23102003499502088,0.5257731958762887,0.5218295218295218,1.0,0.6857923497267759,0.8707562910750162,0.017094017094017096,1.0,0.5085470085470085,0.25,0.14407456488430181,0.19915579114446488
2,3,1308,0.2616443155742273,0.6103092783505155,0.5714285714285714,0.9880478087649402,0.724087591240876,0.910630980352096,0.20512820512820512,0.9880478087649402,0.5965880069465727,0.25,0.210702515394762,0.23113720738948576
3,0,1308,0.21295672026349277,0.5876288659793815,0.5567928730512249,0.9960159362549801,0.7142857142857143,0.9089794667483911,0.14957264957264957,0.9960159362549801,0.5727942929138148,0.25,0.19105793870797969,0.22170781057983024
3,1,1308,0.21431919866945687,0.5731958762886598,0.5486725663716814,0.9880478087649402,0.705547652916074,0.851993734463854,0.1282051282051282,0.9880478087649402,0.5581264684850342,0.25,0.12434665137622879,0.18968639266058981
3,2,1308,0.18685548189209727,0.5917525773195876,0.5598194130925508,0.9880478087649402,0.7146974063400576,0.9185139782749344,0.16666666666666666,0.9880478087649402,0.5773572377158035,0.25,0.19496356576279994,0.22358251156614398
3,3,1308,0.20671990099476606,0.6268041237113402,0.5817757009345794,0.9920318725099602,0.7334315169366715,0.9267204685531379,0.23504273504273504,0.9920318725099602,0.6135373037763476,0.25,0.48963184415299155,0.36502328519343596
4,0,1308,0.18922325845171767,0.5278350515463918,0.5229166666666667,1.0,0.6867305061559508,0.8957758708754726,0.021367521367521368,1.0,0.5106837606837606,0.25,0.17294369648721916,0.2130129743138652
4,1,1308,0.18438298491443075,0.5896907216494846,0.5582959641255605,0.9920318725099602,0.7144906743185079,0.9285422412912452,0.1581196581196581,0.9920318725099602,0.5750757653148091,0.25,0.5099051290261611,0.37475446193255735
4,2,1308,0.17220542832482152,0.5278350515463918,0.5229166666666667,1.0,0.6867305061559508,0.8972826642149352,0.021367521367521368,1.0,0.5106837606837606,0.25,0.17294369648721916,0.2130129743138652
4,3,1308,0.17155234075900985,0.5175257731958763,0.5175257731958763,1.0,0.6820652173913043,0.9096179385024007,0.0,1.0,0.5,0.25,0.14420747799940062,0.1992195894397123
5,0,1308,0.17346595227718353,0.6556701030927835,0.6019417475728155,0.9880478087649402,0.7481146304675717,0.9196887663023121,0.29914529914529914,0.9880478087649402,0.6435965539551197,0.25,0.23496757976400026,0.24278443828672014
5,1,1308,0.18195397001577587,0.7731958762886598,0.7055393586005831,0.9641434262948207,0.8148148148148148,0.93683386113665,0.5683760683760684,0.9641434262948207,0.7662597473354446,0.25,0.47697881855992696,0.35894983290876503
5,2,1308,0.14944136909595349,0.5360824742268041,0.5273109243697479,1.0,0.6905089408528198,0.9013178057002759,0.038461538461538464,1.0,0.5192307692307693,0.25,0.12748023759867663,0.1911905140473648
5,3,1308,0.16202042544396913,0.5835051546391753,0.5543237250554324,0.9960159362549801,0.7122507122507122,0.927665406749072,0.14102564102564102,0.9960159362549801,0.5685207886403105,0.25,0.16057336407739606,0.20707521475715013
