round,global_weight_drift_l2
1,0.0303093587150343
2,0.006074995140385747
3,0.0040774665829051305
4,0.003571250170767064
5,0.0029336725790335624
6,0.0029373719225842245
7,0.0031097101718706435
8,0.003091610462219523
9,0.0030357541540481513
10,0.00299933766806117
11,0.003441149846065872
12,0.0032314254637695224
13,0.003275759238837809
14,0.003414110322862172
15,0.0033904171570741676
16,0.0036268123971643263
17,0.003534383856531897
18,0.00346572422159812
19,0.0033707335597835224
20,0.0030229602130057223
